date	CoreTem	SkinTem
4.7833333333E+000	3.7079712969E+001	3.2328189634E+001
4.8000000000E+000	3.7080031171E+001	3.2333596406E+001
4.8166666667E+000	3.7080348643E+001	3.2339001928E+001
4.8333333333E+000	3.7080665393E+001	3.2344405914E+001
4.8500000000E+000	3.7080981430E+001	3.2349808083E+001
4.8666666667E+000	3.7081296764E+001	3.2355208161E+001
4.8833333333E+000	3.7081611403E+001	3.2360605877E+001
4.9000000000E+000	3.7081925357E+001	3.2366000967E+001
4.9166666667E+000	3.7082238635E+001	3.2371393173E+001
4.9333333333E+000	3.7082551243E+001	3.2376782239E+001
4.9500000000E+000	3.7082863192E+001	3.2382167917E+001
4.9666666667E+000	3.7083174489E+001	3.2387549963E+001
4.9833333333E+000	3.7083485143E+001	3.2392928138E+001
5.0000000000E+000	3.7083795160E+001	3.2398302207E+001
5.0166666667E+000	3.7084104550E+001	3.2403671942E+001
5.0333333333E+000	3.7084413318E+001	3.2409037118E+001
5.0500000000E+000	3.7084721474E+001	3.2414397514E+001
5.0666666667E+000	3.7085029024E+001	3.2419752914E+001
5.0833333333E+000	3.7085335976E+001	3.2425103109E+001
5.1000000000E+000	3.7085642336E+001	3.2430447892E+001
5.1166666667E+000	3.7085948111E+001	3.2435787060E+001
5.1333333333E+000	3.7086253308E+001	3.2441120415E+001
5.1500000000E+000	3.7086557934E+001	3.2446447764E+001
5.1666666667E+000	3.7086861995E+001	3.2451768917E+001
5.1833333333E+000	3.7087165498E+001	3.2457083690E+001
5.2000000000E+000	3.7087468449E+001	3.2462391900E+001
5.2166666667E+000	3.7087770854E+001	3.2467693371E+001
5.2333333333E+000	3.7088072719E+001	3.2472987929E+001
5.2500000000E+000	3.7088374050E+001	3.2478275405E+001
5.2666666667E+000	3.7088674852E+001	3.2483555632E+001
5.2833333333E+000	3.7088975132E+001	3.2488828449E+001
5.3000000000E+000	3.7089274895E+001	3.2494093698E+001
5.3166666667E+000	3.7089574146E+001	3.2499351225E+001
5.3333333333E+000	3.7089872891E+001	3.2504600877E+001
5.3500000000E+000	3.7090171134E+001	3.2509842507E+001
5.3666666667E+000	3.7090468882E+001	3.2515075972E+001
5.3833333333E+000	3.7090766139E+001	3.2520301131E+001
5.4000000000E+000	3.7091062910E+001	3.2525517846E+001
5.4166666667E+000	3.7091359200E+001	3.2530725983E+001
5.4333333333E+000	3.7091655013E+001	3.2535925412E+001
5.4500000000E+000	3.7091950355E+001	3.2541116005E+001
5.4666666667E+000	3.7092245229E+001	3.2546297637E+001
5.4833333333E+000	3.7092539640E+001	3.2551470188E+001
5.5000000000E+000	3.7092833593E+001	3.2556633538E+001
5.5166666667E+000	3.7093127091E+001	3.2561787574E+001
5.5333333333E+000	3.7093420140E+001	3.2566932181E+001
5.5500000000E+000	3.7093712742E+001	3.2572067252E+001
5.5666666667E+000	3.7094004902E+001	3.2577192678E+001
5.5833333333E+000	3.7094296625E+001	3.2582308357E+001
5.6000000000E+000	3.7094587913E+001	3.2587414187E+001
5.6166666667E+000	3.7094878770E+001	3.2592510071E+001
5.6333333333E+000	3.7095169200E+001	3.2597595911E+001
5.6500000000E+000	3.7095459208E+001	3.2602671616E+001
5.6666666667E+000	3.7095748795E+001	3.2607737095E+001
5.6833333333E+000	3.7096037966E+001	3.2612792260E+001
5.7000000000E+000	3.7096326724E+001	3.2617837025E+001
5.7166666667E+000	3.7096615073E+001	3.2622871307E+001
5.7333333333E+000	3.7096903015E+001	3.2627895027E+001
5.7500000000E+000	3.7097190553E+001	3.2632908105E+001
5.7666666667E+000	3.7097477692E+001	3.2637910466E+001
5.7833333333E+000	3.7097764433E+001	3.2642902036E+001
5.8000000000E+000	3.7098050780E+001	3.2647882744E+001
5.8166666667E+000	3.7098336736E+001	3.2652852521E+001
5.8333333333E+000	3.7098622303E+001	3.2657811300E+001
5.8500000000E+000	3.7098907484E+001	3.2662759015E+001
5.8666666667E+000	3.7099192282E+001	3.2667695605E+001
5.8833333333E+000	3.7099476699E+001	3.2672621008E+001
5.9000000000E+000	3.7099760739E+001	3.2677535166E+001
5.9166666667E+000	3.7100044403E+001	3.2682438023E+001
5.9333333333E+000	3.7100327694E+001	3.2687329523E+001
5.9500000000E+000	3.7100610614E+001	3.2692209614E+001
5.9666666667E+000	3.7100893167E+001	3.2697078245E+001
5.9833333333E+000	3.7101175353E+001	3.2701935366E+001
6.0000000000E+000	3.7101457176E+001	3.2706780932E+001
6.0166666667E+000	3.7101738637E+001	3.2711614896E+001
6.0333333333E+000	3.7102019738E+001	3.2716437214E+001
6.0500000000E+000	3.7102300483E+001	3.2721247846E+001
6.0666666667E+000	3.7102580872E+001	3.2726046749E+001
6.0833333333E+000	3.7102860908E+001	3.2730833887E+001
6.1000000000E+000	3.7103140592E+001	3.2735609222E+001
6.1166666667E+000	3.7103419927E+001	3.2740372718E+001
6.1333333333E+000	3.7103698914E+001	3.2745124343E+001
6.1500000000E+000	3.7103977556E+001	3.2749864063E+001
6.1666666667E+000	3.7104255853E+001	3.2754591847E+001
6.1833333333E+000	3.7104533808E+001	3.2759307668E+001
6.2000000000E+000	3.7104811423E+001	3.2764011497E+001
6.2166666667E+000	3.7105088698E+001	3.2768703307E+001
6.2333333333E+000	3.7105365635E+001	3.2773383075E+001
6.2500000000E+000	3.7105642237E+001	3.2778050775E+001
6.2666666667E+000	3.7105918504E+001	3.2782706387E+001
6.2833333333E+000	3.7106194439E+001	3.2787349889E+001
6.3000000000E+000	3.7106470042E+001	3.2791981262E+001
6.3166666667E+000	3.7106745314E+001	3.2796600487E+001
6.3333333333E+000	3.7107020258E+001	3.2801207548E+001
6.3500000000E+000	3.7107294874E+001	3.2805802428E+001
6.3666666667E+000	3.7107569165E+001	3.2810385114E+001
6.3833333333E+000	3.7107843130E+001	3.2814955592E+001
6.4000000000E+000	3.7108116771E+001	3.2819513849E+001
6.4166666667E+000	3.7108390090E+001	3.2824059874E+001
6.4333333333E+000	3.7108663088E+001	3.2828593658E+001
6.4500000000E+000	3.7108935766E+001	3.2833115192E+001
6.4666666667E+000	3.7109208124E+001	3.2837624468E+001
6.4833333333E+000	3.7109480164E+001	3.2842121478E+001
6.5000000000E+000	3.7109751887E+001	3.2846606218E+001
6.5166666667E+000	3.7110023294E+001	3.2851078683E+001
6.5333333333E+000	3.7110294386E+001	3.2855538869E+001
6.5500000000E+000	3.7110565164E+001	3.2859986773E+001
6.5666666667E+000	3.7110835629E+001	3.2864422394E+001
6.5833333333E+000	3.7111105781E+001	3.2868845730E+001
6.6000000000E+000	3.7111375622E+001	3.2873256782E+001
6.6166666667E+000	3.7111645153E+001	3.2877655550E+001
6.6333333333E+000	3.7111914373E+001	3.2882042037E+001
6.6500000000E+000	3.7112183285E+001	3.2886416245E+001
6.6666666667E+000	3.7112451888E+001	3.2890778177E+001
6.6833333333E+000	3.7112720184E+001	3.2895127838E+001
6.7000000000E+000	3.7112988174E+001	3.2899465233E+001
6.7166666667E+000	3.7113255857E+001	3.2903790369E+001
6.7333333333E+000	3.7113523235E+001	3.2908103250E+001
6.7500000000E+000	3.7113790308E+001	3.2912403886E+001
6.7666666667E+000	3.7114057077E+001	3.2916692284E+001
6.7833333333E+000	3.7114323543E+001	3.2920968453E+001
6.8000000000E+000	3.7114589706E+001	3.2925232403E+001
6.8166666667E+000	3.7114855567E+001	3.2929484144E+001
6.8333333333E+000	3.7115121126E+001	3.2933723687E+001
6.8500000000E+000	3.7115386384E+001	3.2937951043E+001
6.8666666667E+000	3.7115651341E+001	3.2942166226E+001
6.8833333333E+000	3.7115915998E+001	3.2946369247E+001
6.9000000000E+000	3.7116180356E+001	3.2950560120E+001
6.9166666667E+000	3.7116444414E+001	3.2954738860E+001
6.9333333333E+000	3.7116708174E+001	3.2958905481E+001
6.9500000000E+000	3.7116971635E+001	3.2963059998E+001
6.9666666667E+000	3.7117234799E+001	3.2967202427E+001
6.9833333333E+000	3.7117497665E+001	3.2971332785E+001
7.0000000000E+000	3.7117760235E+001	3.2975451089E+001
7.0166666667E+000	3.7118022507E+001	3.2979557355E+001
7.0333333333E+000	3.7118284484E+001	3.2983651603E+001
7.0500000000E+000	3.7118546164E+001	3.2987733850E+001
7.0666666667E+000	3.7118807549E+001	3.2991804115E+001
7.0833333333E+000	3.7119068639E+001	3.2995862418E+001
7.1000000000E+000	3.7119329434E+001	3.2999908778E+001
7.1166666667E+000	3.7119589934E+001	3.3003943217E+001
7.1333333333E+000	3.7119850139E+001	3.3007965754E+001
7.1500000000E+000	3.7120110051E+001	3.3011976411E+001
7.1666666667E+000	3.7120369669E+001	3.3015975210E+001
7.1833333333E+000	3.7120628993E+001	3.3019962172E+001
7.2000000000E+000	3.7120888024E+001	3.3023937320E+001
7.2166666667E+000	3.7121146762E+001	3.3027900677E+001
7.2333333333E+000	3.7121405207E+001	3.3031852266E+001
7.2500000000E+000	3.7121663360E+001	3.3035792111E+001
7.2666666667E+000	3.7121921220E+001	3.3039720235E+001
7.2833333333E+000	3.7122178787E+001	3.3043636662E+001
7.3000000000E+000	3.7122436063E+001	3.3047541418E+001
7.3166666667E+000	3.7122693047E+001	3.3051434527E+001
7.3333333333E+000	3.7122949739E+001	3.3055316015E+001
7.3500000000E+000	3.7123206139E+001	3.3059185906E+001
7.3666666667E+000	3.7123462248E+001	3.3063044228E+001
7.3833333333E+000	3.7123718066E+001	3.3066891005E+001
7.4000000000E+000	3.7123973592E+001	3.3070726265E+001
7.4166666667E+000	3.7124228828E+001	3.3074550034E+001
